BiciEstación;Tipo de infraestructura;Troncal de TransMilenio;Promedio Hábil;Promedio Sábado;Promedio Domingos y festivos;Cupos
San Mateo;Estación;NQS Sur;1413;902;408;1449
Portal Américas;Portal;Américas;640;392;174;785
Portal Sur;Portal;NQS Sur;291;194;93;961
Portal Suba;Portal;Suba;564;333;127;710
Portal Eldorado;Portal;Calle 26;425;219;76;532
Portal 80;Portal;Calle 26;371;204;72;353
Portal Tunal;Portal;Caracas Sur;117;88;33;437
General Santander;Estación;NQS Sur;75;58;22;48
Banderas;Estación;Américas;157;73;24;164
Av. Rojas;Estación;Calle 26;43;21;9;104
Portal 20 de Julio;Portal;Carrera 10;14;4;4;216
Quinta Paredes;Estación;Calle 26;3;4;1;48
Pradera;Estación;Américas;6;4;1;32
Marsella;Estación;Américas;13;4;3;32
Av. Américas - Av. Boyacá;Estación;Américas;6;1;1;32
Transversal 86;Estación;Américas;64;27;10;84
Bicentenario;Estación;Carrera 10;0;0;0;116
Av. 1 de Mayo;Estación;Carrera 10;7;3;3;228
Ricaurte;Estación;NQS Central;16;11;4;165
Alcala;Punto de encuentro Ipes;Norte;23;11;9;69
Av. Américas - Av. Boyacá (Externo);Punto de encuentro Ipes;Américas;43;22;10;72
Las Aguas;Punto de encuentro Ipes;Calle 26;42;33;17;164
Juan Pablo;TransMiCable;TransMiCable;0;0;0;44
Manitas;TransMiCable;TransMiCable;0;0;0;52
Mirador del Paraíso;TransMiCable;TransMiCable;0;0;0;82
Biblioteca Tintal;Punto de encuentro Ipes;Américas;0;0;0;72
Molinos;Estación;Caracas Sur;0;0;0;300
